312:	mulig	- 14
313:	fram	- 14
314:	lar	- 14
315:	kva	- 14
316:	ja	- 14
317:	startet	- 14
318:	raskt	- 14
319:	hjelp	- 14
320:	lang	- 13
321:	utviklet	- 13
322:	the	- 13
323:	vanskelig	- 13
324:	teste	- 13
325:	java	- 13
326:	tegne	- 13
327:	slett	- 13
328:	sitter	- 13
329:	kjøre	- 13
330:	lenger	- 13
331:	legge	- 13
332:	lære	- 13
333:	turen	- 13
334:	språk	- 13
335:	bruker	- 13
336:	ekstra	- 13
337:	betyr	- 13
338:	samtidig	- 13
339:	lett	- 13
340:	saken	- 13
341:	typisk	- 13
342:	ulike	- 13
343:	setter	- 13
344:	vere	- 13
345:	bort	- 13
346:	samt	- 13
347:	bedrifter	- 13
348:	ord	- 13
349:	verden	- 13
350:	selvfølgelig	- 13
351:	holde	- 13
352:	kjem	- 13
353:	selve	- 13
354:	vanlig	- 13
355:	langs	- 13
356:	ligger	- 12
357:	finner	- 12
358:	linux	- 12
359:	klart	- 12
360:	full	- 12
361:	fem	- 12
362:	stod	- 12
363:	vise	- 12
364:	ellinor	- 12
365:	største	- 12
366:	lyst	- 12
367:	type	- 12
368:	små	- 12
369:	hvilken	- 12
370:	begynner	- 12
371:	eget	- 12
372:	fungerer	- 12
373:	akkurat	- 12
374:	begge	- 12
375:	filen	- 12
376:	bør	- 12
377:	all	- 12
378:	derimot	- 12
379:	ønsket	- 12
380:	hanne	- 12
381:	informatikk	- 12
382:	gjorde	- 12
383:	kjenner	- 12
384:	form	- 12
385:	kongshem	- 12
386:	problem	- 12
387:	snakker	- 12
388:	visste	- 12
389:	åpne	- 12
390:	aller	- 12
391:	møte	- 12
392:	gått	- 12
393:	berre	- 12
394:	dagen	- 12
395:	begynte	- 11
396:	ønske	- 11
397:	tro	- 11
398:	data	- 11
399:	alene	- 11
400:	åpen	- 11
401:	kort	- 11
402:	gjelder	- 11
403:	sted	- 11
404:	johan	- 11
405:	utenfor	- 11
406:	feil	- 11
407:	mistenkte	- 11
408:	nestleder	- 11
409:	består	- 11
410:	gjøres	- 11
411:	mymodule	- 11
412:	laget	- 11
413:	lager	- 11
414:	trondheim	- 11
415:	valgt	- 11
416:	vert	- 11
417:	problemet	- 11
418:	kalles	- 11
419:	ferdig	- 11
420:	informatikere	- 11
421:	fleire	- 11
422:	året	- 11
423:	uavhengig	- 11
424:	velocity	- 11
425:	klokken	- 11
426:	gøy	- 11
427:	hu	- 11
428:	fast	- 11
429:	return	- 11
430:	uansett	- 11
431:	fortsatt	- 11
432:	resten	- 11
433:	hodet	- 11
434:	ti	- 11
435:	starte	- 11
436:	endte	- 11
437:	linjeforeningen	- 10
438:	retning	- 10
439:	dårlig	- 10
440:	lille	- 10
441:	penger	- 10
442:	verdt	- 10
443:	linjeforeningene	- 10
444:	redaksjonen	- 10
445:	widerøe	- 10
446:	fortelle	- 10
447:	kalle	- 10
448:	blei	- 10
449:	skjer	- 10
450:	rené	- 10
451:	brukes	- 10
452:	per	- 10
453:	enten	- 10
454:	sist	- 10
455:	programmere	- 10
456:	forhåpentligvis	- 10
457:	større	- 10
458:	vårt	- 10
459:	michael	- 10
460:	skypen	- 10
461:	brukt	- 10
462:	ingenting	- 10
463:	innom	- 10
464:	relativt	- 10
465:	brukeren	- 10
466:	antall	- 10
467:	idi	- 10
468:	frem	- 10
469:	arbeid	- 10
470:	greit	- 10
471:	måter	- 10
472:	pc	- 10
473:	praksis	- 10
474:	oslo	- 10
475:	acta	- 10
476:	dessverre	- 10
477:	in	- 10
478:	føler	- 10
479:	overraskende	- 10
480:	holdt	- 10
481:	gjekk	- 10
482:	vilde	- 10
483:	ganger	- 10
484:	hardt	- 10
485:	tur	- 10
486:	b	- 9
487:	handler	- 9
488:	forslag	- 9
489:	oktoberfest	- 9
490:	prøvde	- 9
491:	dokumentet	- 9
492:	mennesker	- 9
493:	fremdeles	- 9
494:	overflaten	- 9
495:	tester	- 9
496:	sak	- 9
497:	satte	- 9
498:	skape	- 9
499:	innholdet	- 9
500:	kodesnutt	- 9
501:	sto	- 9
502:	nødvendigvis	- 9
503:	side	- 9
504:	foran	- 9
505:	tvil	- 9
506:	programvare	- 9
507:	tilfellet	- 9
508:	saker	- 9
509:	enkel	- 9
510:	deretter	- 9
511:	kaller	- 9
512:	helst	- 9
513:	bildet	- 9
514:	då	- 9
515:	tidlig	- 9
516:	hente	- 9
517:	forhold	- 9
518:	onlines	- 9
519:	endre	- 9
520:	mat	- 9
521:	åpner	- 8
522:	objektene	- 8
523:	nettopp	- 8
524:	programmering	- 8
525:	nettlesere	- 8
526:	viste	- 8
527:	blikket	- 8
528:	baserer	- 8
529:	c	- 8
530:	skjermen	- 8
531:	sikkert	- 8
532:	nærmere	- 8
533:	vist	- 8
534:	årets	- 8
535:	nødvendig	- 8
536:	likt	- 8
537:	stadig	- 8
538:	inne	- 8
